Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,"Percent of patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their nurses ""Usually"" communicated well.","Percent of patients who reported that their nurses ""Always"" communicated well.","Percent of patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their doctors ""Usually"" communicated well.","Percent of patients who reported that their doctors ""Always"" communicated well.","Percent of patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted.","Percent of patients who reported that they ""Usually"" received help as soon as they wanted.","Percent of patients who reported that they ""Always"" received help as soon as they wanted.","Percent of patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled.","Percent of patients who reported that their pain was ""Usually"" well controlled.","Percent of patients who reported that their pain was ""Always"" well controlled.","Percent of patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Usually"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Always"" explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean.","Percent of patients who reported that their room and bathroom were ""Usually"" clean.","Percent of patients who reported that their room and bathroom were ""Always"" clean.","Percent of patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night.","Percent of patients who reported that the area around their room was ""Usually"" quiet at night.","Percent of patients who reported that the area around their room was ""Always"" quiet at night.","Percent of patients who reported that YES,they were given information about what to do during their recovery at home.",Percent of patients who reported that they were not given information about what to do during their recovery at home.,Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).,"Percent of patients who reported NO,they would not recommend the hospital.","Percent of patients who reported YES,they would probably recommend the hospital.","Percent of patients who reported YES,they would definitely recommend the hospital.",Number of Completed Surveys,Survey Response Rate Percent,Hospital Footnote
230269,WILLIAM BEAUMONT HOSPITAL-TROY,44201 DEQUINDRE ROAD,,,TROY,MI,48085,OAKLAND,2489648800,4%,20%,76%,4%,20%,76%,8%,29%,63%,6%,26%,68%,26%,19%,55%,7%,21%,72%,20%,35%,45%,83%,17%,6%,21%,73%,3%,19%,78%,300 or more,43%,
230270,OAKWOOD HERITAGE HOSPITAL,10000 TELEGRAPH ROAD,,,TAYLOR,MI,48180,WAYNE,3132955253,6%,17%,77%,8%,16%,76%,11%,24%,65%,8%,21%,71%,24%,16%,60%,8%,19%,73%,16%,31%,53%,79%,21%,11%,23%,66%,8%,25%,67%,300 or more,25%,
230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,,,DETROIT,MI,48201,WAYNE,3137453104,9%,20%,71%,9%,16%,75%,14%,24%,62%,13%,22%,65%,27%,19%,54%,16%,22%,62%,18%,27%,55%,79%,21%,14%,27%,59%,10%,27%,63%,300 or more,16%,
230275,HEALTHSOURCE SAGINAW,3340 HOSPITAL ROAD,,,SAGINAW,MI,48608,SAGINAW,9897907888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No or very few patients were eligible for the HCAHPS survey
230277,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,,,COMMERCE TOWNSHIP,MI,48382,OAKLAND,2489373370,5%,19%,76%,4%,17%,79%,10%,31%,59%,7%,26%,67%,22%,18%,60%,10%,26%,64%,17%,36%,47%,81%,19%,9%,23%,68%,6%,22%,72%,300 or more,38%,
230279,BRIGHTON HOSPITAL,12851 E GRAND RIVER,,,BRIGHTON,MI,48116,LIVINGSTON,8102271211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No or very few patients were eligible for the HCAHPS survey
230297,KARMANOS CANCER CENTER,4100 JOHN R,,,DETROIT,MI,48201,WAYNE,8005766266,2%,15%,83%,4%,16%,80%,7%,25%,68%,5%,23%,72%,14%,20%,66%,7%,27%,66%,5%,31%,64%,87%,13%,5%,20%,75%,2%,18%,80%,300 or more,31%,
230301,OAKLAND REGIONAL HOSPITAL,22401 FOSTER WINTER DRIVE,,,SOUTHFIELD,MI,48075,OAKLAND,2484235100,1%,14%,85%,3%,12%,85%,5%,14%,81%,3%,6%,91%,17%,15%,68%,4%,8%,88%,10%,14%,76%,87%,13%,4%,21%,75%,4%,15%,81%,Fewer than 100,42%,"Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
230302,HENRY FORD WEST BLOOMFIELD HOSPITAL,6777 WEST MAPLE ROAD,,,W BLOOMFIELD,MI,48322,OAKLAND,2483251000,4%,19%,77%,5%,15%,80%,9%,25%,66%,7%,23%,70%,21%,20%,59%,9%,20%,71%,5%,20%,75%,84%,16%,5%,14%,81%,3%,13%,84%,300 or more,37%,
231303,SCHOOLCRAFT MEMORIAL HOSPITAL,500 MAIN ST,,,MANISTIQUE,MI,49854,SCHOOLCRAFT,9063413200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
231305,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,805 W CEDAR ST,,,STANDISH,MI,48658,ARENAC,5178464521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
231307,BARAGA COUNTY MEMORIAL HOSPITAL,18341 US HIGHWAY 41,,,L' ANSE,MI,49946,BARAGA,9065243300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
231310,SCHEURER HOSPITAL,170 N CASEVILLE RD,,,PIGEON,MI,48755,HURON,9894533223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
231311,DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,,,DECKERVILLE,MI,48427,SANILAC,8103762835,1%,14%,85%,2%,10%,88%,0%,21%,79%,5%,15%,80%,9%,12%,79%,6%,16%,78%,10%,27%,63%,90%,10%,2%,22%,76%,2%,20%,78%,Fewer than 100,43%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
231312,SHERIDAN COMMUNITY HOSPITAL,301 N MAIN ST,,,SHERIDAN,MI,48884,MONTCALM,9892913261,1%,15%,84%,1%,10%,89%,3%,19%,78%,1%,25%,74%,12%,15%,73%,1%,13%,86%,4%,26%,70%,92%,8%,6%,15%,79%,2%,22%,76%,Fewer than 100,37%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
231313,HARBOR BEACH COMMUNITY HOSPITAL,210 S FIRST ST,,,HARBOR BEACH,MI,48441,HURON,9894793201,3%,9%,88%,4%,4%,92%,5%,6%,89%,0%,9%,91%,15%,22%,63%,0%,12%,88%,4%,33%,63%,89%,11%,4%,9%,87%,0%,11%,89%,Fewer than 100,42%,"Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
231314,MCKENZIE MEMORIAL HOSPITAL,120 DELAWARE STREET,,,SANDUSKY,MI,48471,SANILAC,8106483770,2%,16%,82%,1%,12%,87%,1%,18%,81%,3%,25%,72%,12%,16%,72%,9%,15%,76%,6%,36%,58%,91%,9%,5%,17%,78%,2%,20%,78%,Fewer than 100,34%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
231315,BORGESS-LEE MEMORIAL HOSPITAL,420 W HIGH STREET,,,DOWAGIAC,MI,49047,CASS,2697828681,6%,16%,78%,8%,19%,73%,12%,25%,63%,4%,28%,68%,23%,21%,56%,4%,15%,81%,7%,29%,64%,78%,22%,7%,24%,69%,6%,30%,64%,Between 100 and 299,18%,
231316,HILLS & DALES GENERAL HOSPITAL,4675 HILL STREET,,,CASS CITY,MI,48726,TUSCOLA,9898722121,3%,13%,84%,2%,11%,87%,2%,13%,85%,4%,20%,76%,17%,15%,68%,7%,19%,74%,7%,20%,73%,89%,11%,3%,25%,72%,1%,30%,69%,Between 100 and 299,40%,
231317,SPECTRUM HEALTH UNITED MEMORIAL - KELSEY CAMPUS,418 WASHINGTON,,,LAKEVIEW,MI,48850,LAKE,9893527211,0%,8%,92%,0%,11%,89%,0%,13%,87%,0%,16%,84%,11%,13%,76%,0%,9%,91%,1%,34%,65%,95%,5%,0%,13%,87%,1%,13%,86%,Fewer than 100,38%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
231318,NORTHSTAR HEALTH SYSTEM,1400 W ICE LAKE ROAD,,,IRON RIVER,MI,49935,IRON,9062656121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
231319,ASPIRUS KEWEENAW HOSPITAL,205 OSCEOLA,,,LAURIUM,MI,49913,HOUGHTON,9063376500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
231321,BELL MEMORIAL HOSPITAL,901 LAKESHORE DRIVE,,,ISHPEMING,MI,49849,MARQUETTE,9064864431,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
231322,CHARLEVOIX AREA HOSPITAL,14700 LAKESHORE DRIVE,,,CHARLEVOIX,MI,49720,CHARLEVOIX,2315474024,4%,17%,79%,3%,14%,83%,5%,15%,80%,5%,20%,75%,14%,18%,68%,4%,14%,82%,5%,28%,67%,86%,14%,3%,16%,81%,2%,17%,81%,300 or more,44%,
231323,SPECTRUM HEALTH - REED CITY CAMPUS,"PO BOX 75, 300 N PATTERSON",,,REED CITY,MI,49677,OSCEOLA,2318323271,2%,11%,87%,2%,10%,88%,2%,16%,82%,1%,20%,79%,10%,13%,77%,5%,15%,80%,7%,26%,67%,93%,7%,5%,20%,75%,1%,25%,74%,Between 100 and 299,37%,
231324,EATON RAPIDS MEDICAL CENTER,1500 S MAIN STREET,,,EATON RAPIDS,MI,48827,EATON,5176632671,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
231325,MIDMICHIGAN MEDICAL CENTER-GLADWIN,515 QUARTER STREET,,,GLADWIN,MI,48624,GLADWIN,9894269286,4%,14%,82%,3%,10%,87%,5%,23%,72%,7%,18%,75%,14%,25%,61%,13%,20%,67%,3%,19%,78%,87%,13%,8%,25%,67%,6%,29%,65%,Between 100 and 299,30%,
231326,CLINTON MEMORIAL HOSPITAL,805 S OAKLAND,,,SAINT JOHNS,MI,48879,CLINTON,9892246881,2%,17%,81%,3%,13%,84%,4%,28%,68%,3%,22%,75%,18%,20%,62%,6%,15%,79%,11%,32%,57%,84%,16%,5%,19%,76%,2%,21%,77%,300 or more,45%,
231327,HAYES GREEN BEACH MEMORIAL HOSPITAL,321 E HARRIS STREET,,,CHARLOTTE,MI,48813,EATON,5175431050,4%,18%,78%,5%,19%,76%,7%,18%,75%,6%,22%,72%,28%,12%,60%,7%,14%,79%,5%,26%,69%,89%,11%,5%,20%,75%,4%,23%,73%,Between 100 and 299,26%,
231328,ALLEGAN GENERAL HOSPITAL,555 LINN STREET,,,ALLEGAN,MI,49010,ALLEGAN,2696864101,2%,15%,83%,1%,14%,85%,2%,15%,83%,3%,15%,82%,14%,15%,71%,4%,14%,82%,4%,24%,72%,90%,10%,5%,14%,81%,3%,16%,81%,Between 100 and 299,42%,
231329,CARO COMMUNITY HOSPITAL,401 N HOOPER STREET,,,CARO,MI,48723,TUSCOLA,9896733141,0%,20%,80%,1%,6%,93%,2%,17%,81%,8%,16%,76%,21%,38%,41%,1%,31%,68%,6%,33%,61%,89%,11%,2%,26%,72%,3%,32%,65%,Fewer than 100,37%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
231330,MARLETTE REGIONAL HOSPITAL,2770 MAIN STREET,,,MARLETTE,MI,48453,SANILAC,9896354000,3%,16%,81%,1%,11%,88%,4%,21%,75%,2%,20%,78%,16%,20%,64%,6%,17%,77%,11%,27%,62%,84%,16%,4%,22%,74%,2%,19%,79%,Between 100 and 299,42%,
231331,IONIA COUNTY MEMORIAL HOSPITAL,479 LAFAYETTE STREET,,,IONIA,MI,48846,IONIA,6165274200,1%,9%,90%,5%,16%,79%,2%,15%,83%,1%,20%,79%,12%,20%,68%,2%,12%,86%,3%,25%,72%,85%,15%,5%,30%,65%,3%,25%,72%,Between 100 and 299,37%,
231332,BRONSON LAKEVIEW HOSPITAL,408 HAZEN STREET,,,PAW PAW,MI,49079,VAN BUREN,2696571400,2%,16%,82%,4%,13%,83%,4%,14%,82%,4%,22%,74%,18%,16%,66%,5%,19%,76%,9%,33%,58%,91%,9%,6%,26%,68%,2%,26%,72%,Between 100 and 299,38%,
231333,ASPIRUS GRAND VIEW HOSPITAL,N10561 GRAND VIEW LANE,,,IRONWOOD,MI,49938,GOGEBIC,9069322525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
231334,HERRICK MEMORIAL HOSPITAL,500 E POTTAWATAMIE STREET,,,TECUMSEH,MI,49286,LENAWEE,5174243000,5%,20%,75%,5%,16%,79%,8%,25%,67%,5%,25%,70%,21%,20%,59%,6%,19%,75%,9%,27%,64%,83%,17%,8%,21%,71%,6%,25%,69%,300 or more,35%,
231335,WEST SHORE MEDICAL CENTER,1465 E PARKDALE AVENUE,,,MANISTEE,MI,49660,MANISTEE,2313981000,2%,17%,81%,2%,13%,85%,5%,20%,75%,5%,22%,73%,14%,18%,68%,5%,14%,81%,6%,29%,65%,84%,16%,6%,21%,73%,3%,28%,69%,300 or more,45%,
231336,CHEBOYGAN MEMORIAL HOSPITAL,748 S MAIN,,,CHEBOYGAN,MI,49721,CHEBOYGAN,2316275601,4%,19%,77%,5%,17%,78%,7%,24%,69%,7%,26%,67%,18%,18%,64%,9%,20%,71%,10%,36%,54%,85%,15%,11%,27%,62%,8%,31%,61%,300 or more,40%,
240001,NORTH MEMORIAL MEDICAL CENTER,3300 OAKDALE NORTH,,,ROBBINSDALE,MN,55422,HENNEPIN,7635205200,5%,24%,71%,4%,20%,76%,11%,34%,55%,5%,29%,66%,20%,25%,55%,11%,27%,62%,13%,36%,51%,82%,18%,10%,25%,65%,3%,31%,66%,300 or more,38%,
240002,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,407 E 3RD ST,,,DULUTH,MN,55805,SAINT LOUIS,2187864000,4%,22%,74%,4%,19%,77%,7%,28%,65%,7%,30%,63%,23%,20%,57%,10%,27%,63%,15%,38%,47%,83%,17%,8%,29%,63%,5%,26%,69%,300 or more,38%,
240004,HENNEPIN COUNTY MEDICAL CENTER,701 PARK AVENUE,,,MINNEAPOLIS,MN,55415,HENNEPIN,6128733000,8%,25%,67%,7%,20%,73%,17%,34%,49%,11%,29%,60%,26%,23%,51%,13%,25%,62%,18%,33%,49%,83%,17%,14%,27%,59%,6%,30%,64%,300 or more,22%,
240006,OLMSTED MEDICAL CENTER,1650 FOURTH STREET SOUTHEAST,,,ROCHESTER,MN,55904,OLMSTED,5075296600,3%,18%,79%,3%,16%,81%,5%,20%,75%,5%,25%,70%,13%,17%,70%,6%,21%,73%,7%,34%,59%,89%,11%,3%,19%,78%,1%,12%,87%,300 or more,29%,
240010,MAYO CLINIC - SAINT MARYS HOSPITAL,1216 SECOND STREET WEST,,,ROCHESTER,MN,55902,OLMSTED,5072555123,1%,16%,83%,2%,17%,81%,3%,21%,76%,3%,22%,75%,11%,18%,71%,5%,17%,78%,5%,29%,66%,86%,14%,3%,13%,84%,1%,12%,87%,300 or more,47%,
240014,NORTHFIELD HOSPITAL,2000 NORTH AVENUE,,,NORTHFIELD,MN,55057,RICE,5076461000,3%,19%,78%,4%,14%,82%,7%,27%,66%,5%,25%,70%,15%,19%,66%,8%,17%,75%,5%,31%,64%,88%,12%,5%,22%,73%,2%,19%,79%,300 or more,40%,
240018,FAIRVIEW RED WING HOSPITAL,"701 FAIRVIEW BOULEVARD, PO BOX 95",,,RED WING,MN,55066,GOODHUE,6512675000,3%,17%,80%,4%,12%,84%,5%,23%,72%,6%,21%,73%,16%,19%,65%,7%,16%,77%,9%,31%,60%,89%,11%,6%,23%,71%,3%,27%,70%,300 or more,43%,
240019,ESSENTIA HEALTH DULUTH,502 EAST SECOND STREET,,,DULUTH,MN,55805,SAINT LOUIS,2187862629,7%,22%,71%,3%,16%,81%,12%,27%,61%,10%,25%,65%,21%,15%,64%,11%,28%,61%,17%,36%,47%,85%,15%,12%,26%,62%,7%,28%,65%,300 or more,39%,
240020,CAMBRIDGE MEDICAL CENTER,701 SOUTH DELLWOOD,,,CAMBRIDGE,MN,55008,ISANTI,7636897700,3%,18%,79%,3%,14%,83%,6%,23%,71%,5%,28%,67%,16%,20%,64%,7%,22%,71%,6%,34%,60%,87%,13%,6%,25%,69%,3%,30%,67%,300 or more,35%,
240022,SANFORD  WORTHINGTON MEDICAL CENTER,1018 SIXTH AVENUE PO BOX 997,,,WORTHINGTON,MN,56187,NOBLES,5073722941,3%,20%,77%,5%,21%,74%,6%,26%,68%,6%,29%,65%,16%,27%,57%,3%,17%,80%,7%,32%,61%,84%,16%,6%,30%,64%,4%,30%,66%,300 or more,38%,
240030,DOUGLAS COUNTY HOSPITAL,111 17TH AVENUE EAST,,,ALEXANDRIA,MN,56308,DOUGLAS,3207621511,4%,21%,75%,4%,18%,78%,5%,27%,68%,6%,27%,67%,17%,23%,60%,4%,12%,84%,10%,31%,59%,89%,11%,6%,21%,73%,3%,23%,74%,300 or more,60%,
240036,ST CLOUD HOSPITAL,1406 6TH AVE NORTH,,,SAINT CLOUD,MN,56303,STEARNS,3202512700,3%,19%,78%,4%,15%,81%,5%,21%,74%,4%,23%,73%,15%,19%,66%,8%,16%,76%,9%,29%,62%,85%,15%,5%,22%,73%,2%,20%,78%,300 or more,48%,
240038,UNITED HOSPITAL,333 NORTH SMITH,,,SAINT PAUL,MN,55102,RAMSEY,6122988888,5%,23%,72%,5%,21%,74%,10%,29%,61%,7%,27%,66%,22%,22%,56%,11%,26%,63%,14%,36%,50%,84%,16%,9%,28%,63%,5%,26%,69%,300 or more,35%,
240040,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,750 EAST 34TH ST,,,HIBBING,MN,55746,SAINT LOUIS,2183626659,3%,16%,81%,4%,13%,83%,6%,27%,67%,5%,22%,73%,16%,18%,66%,5%,18%,77%,11%,32%,57%,87%,13%,9%,26%,65%,5%,30%,65%,300 or more,42%,
240043,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA,404 WEST FOUNTAIN STREET,,,ALBERT LEA,MN,56007,FREEBORN,5073732384,2%,17%,81%,3%,17%,80%,4%,28%,68%,5%,26%,69%,15%,19%,66%,4%,16%,80%,7%,36%,57%,82%,18%,5%,26%,69%,2%,28%,70%,300 or more,43%,
240044,WINONA HEALTH SERVICES,855 MANKATO AVENUE,,,WINONA,MN,55987,WINONA,5074543650,4%,21%,75%,3%,16%,81%,8%,28%,64%,7%,30%,63%,19%,22%,59%,7%,19%,74%,9%,36%,55%,80%,20%,9%,30%,61%,5%,32%,63%,300 or more,39%,
240047,ST LUKES HOSPITAL,915 E 1ST ST,,,DULUTH,MN,55805,SAINT LOUIS,2182495555,6%,18%,76%,4%,16%,80%,10%,29%,61%,8%,24%,68%,20%,14%,66%,13%,20%,67%,10%,33%,57%,85%,15%,7%,22%,71%,2%,20%,78%,300 or more,38%,
240050,FAIRVIEW LAKES  HEALTH SERVICES,5200 FAIRVIEW BOULEVARD,,,WYOMING,MN,55092,CHISAGO,6519827000,3%,20%,77%,5%,16%,79%,6%,24%,70%,5%,24%,71%,16%,19%,65%,6%,19%,75%,9%,31%,60%,82%,18%,7%,25%,68%,4%,25%,71%,300 or more,42%,There were discrepancies in the data collection process
240052,LAKE REGION HEALTHCARE CORPORATION,712 SOUTH CASCADE,,,FERGUS FALLS,MN,56537,OTTER TAIL,2187368000,3%,21%,76%,5%,19%,76%,5%,27%,68%,5%,27%,68%,13%,26%,61%,3%,15%,82%,6%,31%,63%,90%,10%,7%,28%,65%,2%,31%,67%,Between 100 and 299,46%,
240053,PARK NICOLLET METHODIST HOSPITAL,6500 EXCELSIOR BLVD,,,SAINT LOUIS PARK,MN,55426,HENNEPIN,9529935000,4%,27%,69%,5%,18%,77%,12%,34%,54%,8%,31%,61%,24%,21%,55%,10%,25%,65%,21%,30%,49%,81%,19%,11%,26%,63%,5%,25%,70%,300 or more,42%,
240056,RIDGEVIEW MEDICAL CENTER,500 S MAPLE ST,,,WACONIA,MN,55387,CARVER,9524422191,4%,22%,74%,4%,17%,79%,8%,31%,61%,8%,29%,63%,19%,22%,59%,4%,15%,81%,6%,30%,64%,83%,17%,5%,19%,76%,2%,18%,80%,Between 100 and 299,42%,
240057,ABBOTT NORTHWESTERN HOSPITAL INC,800 EAST 28TH STREET,,,MINNEAPOLIS,MN,55407,HENNEPIN,6128634000,4%,21%,75%,4%,16%,80%,8%,27%,65%,6%,26%,68%,20%,20%,60%,11%,24%,65%,13%,35%,52%,86%,14%,7%,22%,71%,3%,19%,78%,300 or more,40%,
240059,REGINA MEDICAL CENTER,1175 NININGER ROAD,,,HASTINGS,MN,55033,DAKOTA,6514804100,4%,19%,77%,4%,16%,80%,6%,20%,74%,6%,25%,69%,16%,18%,66%,6%,15%,79%,4%,27%,69%,83%,17%,8%,24%,68%,4%,23%,73%,300 or more,40%,
240061,MAYO CLINIC METHODIST HOSPITAL,201 WEST CENTER STREET,,,ROCHESTER,MN,55902,OLMSTED,5072667890,2%,16%,82%,0%,15%,85%,4%,28%,68%,4%,26%,70%,11%,21%,68%,7%,21%,72%,5%,32%,63%,92%,8%,3%,12%,85%,2%,11%,87%,300 or more,51%,
240063,ST JOSEPH'S HOSPITAL,45 WEST 10TH STREET,,,SAINT PAUL,MN,55102,RAMSEY,6512323000,5%,24%,71%,6%,23%,71%,13%,31%,56%,7%,28%,65%,28%,20%,52%,11%,24%,65%,11%,41%,48%,83%,17%,9%,25%,66%,6%,20%,74%,300 or more,37%,
240064,GRAND ITASCA CLINIC AND HOSPITAL,1601 GOLF COURSE ROAD,,,GRAND RAPIDS,MN,55744,ITASCA,2183263401,2%,19%,79%,3%,13%,84%,5%,26%,69%,5%,23%,72%,21%,21%,58%,8%,21%,71%,9%,30%,61%,84%,16%,8%,23%,69%,3%,30%,67%,300 or more,33%,
240066,LAKEVIEW MEMORIAL HOSPITAL,927 WEST CHURCHILL STREET,,,STILLWATER,MN,55082,WASHINGTON,6514395330,3%,11%,86%,3%,10%,87%,5%,14%,81%,4%,17%,79%,12%,16%,72%,4%,13%,83%,5%,26%,69%,90%,10%,3%,14%,83%,3%,12%,85%,300 or more,58%,
240069,OWATONNA HOSPITAL,2250 26TH STREET NORTHWEST,,,OWATONNA,MN,55060,STEELE,5074513850,3%,20%,77%,4%,16%,80%,6%,25%,69%,6%,25%,69%,19%,22%,59%,6%,22%,72%,8%,36%,56%,87%,13%,7%,25%,68%,3%,26%,71%,300 or more,38%,
240071,DISTRICT ONE HOSPITAL,200 STATE AVENUE,,,FARIBAULT,MN,55021,RICE,5073346451,3%,18%,79%,4%,14%,82%,4%,24%,72%,6%,26%,68%,15%,20%,65%,5%,22%,73%,6%,33%,61%,84%,16%,6%,25%,69%,2%,27%,71%,300 or more,33%,
240075,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,523 NORTH 3RD STREET,,,BRAINERD,MN,56401,CROW WING,2188292861,3%,19%,78%,3%,15%,82%,5%,25%,70%,5%,22%,73%,14%,21%,65%,5%,15%,80%,8%,31%,61%,87%,13%,7%,25%,68%,3%,30%,67%,300 or more,43%,
240076,BUFFALO HOSPITAL,303 CATLIN ST,,,BUFFALO,MN,55313,WRIGHT,7636841212,3%,17%,80%,3%,18%,79%,7%,24%,69%,5%,26%,69%,15%,22%,63%,5%,15%,80%,7%,31%,62%,88%,12%,6%,24%,70%,4%,26%,70%,300 or more,38%,
240078,FAIRVIEW SOUTHDALE HOSPITAL,6401 FRANCE AVENUE SOUTH,,,EDINA,MN,55435,HENNEPIN,9529245000,4%,25%,71%,6%,18%,76%,10%,33%,57%,6%,29%,65%,22%,19%,59%,10%,25%,65%,12%,33%,55%,86%,14%,8%,30%,62%,4%,29%,67%,300 or more,47%,
240080,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",2450 RIVERSIDE AVENUE,,,MINNEAPOLIS,MN,55454,HENNEPIN,6126726000,4%,26%,70%,6%,19%,75%,13%,35%,52%,7%,28%,65%,22%,21%,57%,10%,25%,65%,16%,38%,46%,86%,14%,9%,29%,62%,5%,24%,71%,300 or more,35%,
240084,VIRGINIA REGIONAL MEDICAL CENTER,901 9TH STREET NORTH,,,VIRGINIA,MN,55792,SAINT LOUIS,2187413340,4%,15%,81%,6%,17%,77%,6%,25%,69%,7%,24%,69%,17%,21%,62%,6%,18%,76%,10%,32%,58%,83%,17%,11%,28%,61%,6%,33%,61%,300 or more,37%,
240088,RICE MEMORIAL HOSPITAL,301 BECKER AVE SW,,,WILLMAR,MN,56201,KANDIYOHI,3202314227,3%,20%,77%,3%,15%,82%,5%,24%,71%,5%,27%,68%,16%,22%,62%,6%,23%,71%,5%,29%,66%,85%,15%,8%,25%,67%,2%,29%,69%,300 or more,43%,
